user,amount,currency
john,602.0242861835042,INR-CBDC
eve,33.924974092469256,INR-CBDC
charlie,402.2461728959879,USD-Token
charlie,4.159861599827725,USD-Token
bob,40.13579774993267,INR-CBDC
bob,11605.27416142933,USD-Token
bob,9.557922252754352,USD-Token
charlie,96.40293195410071,USD-Token
charlie,393.13745615476734,INR-CBDC
bob,594.7375587013862,USD-Token
bob,72.65757199375166,INR-CBDC
john,116.01816851707967,INR-CBDC
charlie,480.08457747860473,USD-Token
john,74.70931633152473,USD-Token
john,40.87771990158115,INR-CBDC
john,561.0188838583165,USD-Token
john,9.256393137366391,USD-Token
eve,63.31208864176514,INR-CBDC
alice,65.96056802684984,USD-Token
eve,9074.708136338495,INR-CBDC
alice,1196.3129787317841,USD-Token
charlie,312.2968010242881,INR-CBDC
bob,24.63002092088993,INR-CBDC
john,80.3637602502602,USD-Token
eve,261.5751567915482,USD-Token
charlie,127.81322667526196,INR-CBDC
charlie,286.0785506153728,USD-Token
charlie,147.9357677554534,INR-CBDC
john,22.833487038373168,INR-CBDC
alice,75.47934175901997,USD-Token
eve,57.347764596659665,INR-CBDC
eve,51.961031383478804,USD-Token
charlie,35.16167170001257,USD-Token
alice,22.296791774294416,USD-Token
john,107.74557520437551,USD-Token
bob,26.04177331233148,INR-CBDC
alice,63.527181706096826,INR-CBDC
john,7912.319558633851,INR-CBDC
charlie,108.05466418373426,INR-CBDC
bob,82.38171597248649,INR-CBDC
alice,103.44795378289729,USD-Token
john,56.705094708417946,INR-CBDC
alice,673.1373088440837,USD-Token
bob,105.87838765057731,INR-CBDC
alice,201.21647296723552,USD-Token
john,118.76289840707715,USD-Token
john,16.861913596482555,USD-Token
eve,200.10074954635425,USD-Token
alice,32.672691076096704,INR-CBDC
eve,390.8916427153265,USD-Token
charlie,248.3692276108972,INR-CBDC
john,564.4340085432386,USD-Token
bob,363.67421464705944,INR-CBDC
alice,46.909571972439764,INR-CBDC
charlie,51.8966892696153,USD-Token
alice,145.39701220605932,INR-CBDC
john,163.42190791727552,USD-Token
alice,65.38754569534322,INR-CBDC
charlie,388.0393091927142,USD-Token
john,17.578345239216812,USD-Token
john,173.82734368270783,USD-Token
charlie,727.3624511938447,USD-Token
bob,132.95616871178268,INR-CBDC
alice,38.698808083321595,USD-Token
eve,39.40324958464941,USD-Token
charlie,214.3626576339525,INR-CBDC
charlie,91.68326144140401,INR-CBDC
eve,133.39538685507605,USD-Token
bob,86.18071011821615,INR-CBDC
alice,43.4429790650477,INR-CBDC
john,310.1676616166765,INR-CBDC
john,126.95471746650394,USD-Token
charlie,275.44216742242804,INR-CBDC
